account,date,daily_pnl,num_trades,avg_trade_size_usd,avg_trade_size_tokens,avg_fee,win_rate,long_ratio,timestamp,value,sentiment,activity_segment,pnl_std,consistency_segment
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-01,232.66549799999999,81,156.68296296296296,154.02253259259257,4.45112,0.49382716049382713,0.0,1743485400,34,Fear,Frequent,3369.1192504660335,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-02,1291.500575,48,1139.6597916666667,133.58954229166667,11.67501298,0.3541666666666667,0.0,1743571800,44,Fear,Infrequent,3369.1192504660335,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-03,163.73415,43,1091.9493023255814,77.6760465116279,12.403976,0.3023255813953488,0.0,1743658200,25,Fear,Infrequent,3369.1192504660335,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-04,498.73528200000004,100,280.5443,5443.1526,9.75008299,0.56,0.0,1743744600,28,Fear,Frequent,3369.1192504660335,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-05-01,87.752181,82,101.1840243902439,239.9459756097561,2.903942,0.5365853658536586,0.0,1746077400,53,Neutral,Frequent,3369.1192504660335,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-05-02,696.8107239999999,83,912.4063855421687,92.64910686746988,22.582462,0.4457831325301205,0.0,1746163800,67,Greed,Frequent,3369.1192504660335,Consistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-01-11,-0.09906000000000104,14,2139.280714285714,4138.285714285715,9.793994,0.2857142857142857,0.0,1704951000,76,Extreme Greed,Infrequent,4887.9739381524105,Inconsistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-02-12,16196.864846,53,2348.7403773584906,3234.698113207547,42.163079,0.5660377358490566,0.0,1707715800,70,Greed,Infrequent,4887.9739381524105,Inconsistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-03-12,121.535562,59,1685.5867796610169,3167.915254237288,34.807342,0.23728813559322035,0.0,1710221400,81,Extreme Greed,Infrequent,4887.9739381524105,Inconsistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-04-12,7591.307059,37,3426.9959459459456,354995.35135135136,36.568131,0.6756756756756757,0.0,1712899800,79,Extreme Greed,Infrequent,4887.9739381524105,Inconsistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-05-12,2069.92634,33,890.1048484848485,92.98181818181818,7.532439,0.9090909090909091,0.0,1715491800,56,Greed,Infrequent,4887.9739381524105,Inconsistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-06-11,-3.41119,3,666.84,3894.0,0.70018,0.0,0.0,1718083800,74,Greed,Infrequent,4887.9739381524105,Inconsistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-06-12,-123.870122,9,2324.0444444444447,5510.222222222223,7.0556339999999995,0.0,0.0,1718170200,72,Greed,Infrequent,4887.9739381524105,Inconsistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-08-11,-710.786946,15,2003.9206666666666,534.8933333333333,9.653699999999999,0.0,0.0,1723354200,39,Fear,Infrequent,4887.9739381524105,Inconsistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-12,130.883691,12,1585.4033333333334,173722.66666666666,6.658685,0.5833333333333334,0.0,1728711000,49,Neutral,Infrequent,4887.9739381524105,Inconsistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-12,8544.6855,19,6550.684736842106,5299.684210526316,30.194784,0.5263157894736842,0.0,1731389400,80,Extreme Greed,Infrequent,4887.9739381524105,Inconsistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-12,7639.595794,62,5565.801451612903,7303.290322580645,120.777867,0.6290322580645161,0.0,1733981400,83,Extreme Greed,Infrequent,4887.9739381524105,Inconsistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-02,88.50699399999999,21,5610.000952380952,898.6095238095238,36.52381,0.5714285714285714,0.0,1735795800,70,Greed,Infrequent,4887.9739381524105,Inconsistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-04,1334.414834,9,1193.0444444444445,25.34,3.455933,0.4444444444444444,0.0,1735968600,73,Greed,Infrequent,4887.9739381524105,Inconsistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-04,1.1031579999999999,6,395.24,0.646,0.830004,0.3333333333333333,0.0,1738647000,72,Greed,Infrequent,4887.9739381524105,Inconsistent
